0.785398, 3, 1, 3, -1.055848, -0.785398, 0.000000, -0.000001, 2.356194
0.774519, 3, 1, 3, 1.056304, 0.785398, -0.000000, 0.000000, 0.785398
0.785398, 3, 1, 3, -13.622219, -0.785395, -9.424781, 0.000001, -0.785397
0.774519, 3, 1, 3, 1.056304, 0.785398, -0.000000, -0.000000, 0.785398
0.763639, 3, 1, 3, -1.056750, 0.785398, -0.000000, -0.000000, 0.785398
0.752760, 3, 1, 3, 1.057185, 0.785398, -0.000000, -0.000000, 0.785398
0.741881, 3, 1, 3, 1.057610, 0.785398, 0.000000, -0.000000, 0.785398
0.731001, 3, 1, 3, -1.058023, 0.785398, -0.000000, -0.000000, 0.785398
0.720122, 3, 1, 3, 1.058428, 0.785398, -0.000000, -0.000000, 0.785398
0.709243, 3, 1, 3, 1.058823, 0.785398, 0.000000, -0.000000, 0.785398
0.698363, 3, 1, 3, -1.059207, 0.785398, -0.000000, -0.000000, 0.785398
0.687484, 3, 1, 3, -1.059582, -0.785399, -0.000001, 0.000001, -0.785399
0.676605, 3, 1, 3, -1.059947, 0.785398, 0.000000, 0.000000, 0.785398
0.665725, 3, 1, 3, 1.060304, -0.785399, 0.000001, -0.000000, -0.785398
0.654846, 3, 1, 3, 1.060650, 0.785398, -0.000000, -0.000000, 0.785398
0.643967, 3, 2, 6, 1.060989, -0.785398, 0.000000, 3.141593, 2.356195
0.633087, 3, 2, 6, 1.061318, 0.785398, -0.000000, 0.000000, 0.785398
0.622208, 3, 2, 6, 1.061639, 0.785398, 0.000000, -0.000000, 0.785398
0.611329, 3, 2, 6, -1.061951, 0.785397, 0.000002, -0.000001, -2.356195
0.600449, 3, 2, 6, 1.062255, -2.356194, -3.141593, 3.141594, 0.785397
0.589570, 3, 2, 6, -1.062551, 0.785398, -0.000000, -0.000000, 0.785398
0.578691, 3, 2, 6, 1.062839, 0.785398, 0.000000, -0.000000, 0.785398
0.567811, 3, 2, 6, -1.063119, 0.785398, 0.000000, -0.000000, 0.785398
0.556932, 3, 2, 6, 1.063391, 0.785398, -0.000000, -0.000000, 0.785398
